File name,Color,Polymer,Matching
AI58_5.1_2.csv,transparent,PE,0.89
AI58_5.1_4.csv,yellow,PE,0.88
AI58_5.1_5.csv,transparent,PE,0.94
AI58_5.1_6.csv,white,PP,0.88
AI58_5.1_7.csv,gray,PP,0.73
AI58_5.1_8.csv,transparent,PP,0.84
AI58_5.1_9.csv,transparent,PE,0.89
AI58_5.1_10.csv,transparent,PE,0.95
AI58_5.1_11.csv,yellow,PE,0.89
AI58_5.1_12.csv,yellow,PE,0.97
AI58_5.1_13.csv,transparent,PE,0.92
AI58_5.1_14.csv,transparent,PE,0.95
AI58_5.1_15.csv,white,PE,0.79
AI58_5.1_17.csv,transparent,PE,0.8
AI58_5.1_18.csv,transparent,PE,0.91
AI58_5.1_19.csv,transparent,PE,0.96
AI58_5.1_20.csv,yellow,PE,0.8
AI58_5.1_21.csv,transparent,PE,0.97
AI58_5.1_22.csv,transparent,PE,0.86
AI58_5.1_23.csv,transparent,PE,0.79
AI58_5.1_25.csv,transparent,PE,0.95
AI58_5.1_26.csv,yellow,PE,0.76
AI58_5.1_27.csv,transparent,PE,0.94
AI58_5.1_28.csv,white,PE,0.8
AI58_5.1_29.csv,yellow,PE,0.83
AI58_5.1_31.csv,transparent,PE,0.97
AI58_5.1_34.csv,gray,PE,0.97
AI58_5.1_35.csv,gray,PE,0.88
AI58_5.1_36.csv,transparent,PE,0.72
AI58_5.1_37.csv,transparent,PE,0.96
AI58_5.1_38.csv,white,PE,0.85
AI58_5.1_39.csv,transparent,PE,0.95
AI58_5.1_40.csv,white,PE,0.97
AI58_5.1_42.csv,transparent,PE,0.97
AI58_5.1_43.csv,transparent,PE,0.96
AI58_5.1_44.csv,white,PE,0.97
AI58_5.1_45.csv,transparent,PE,0.97
AI58_5.1_46.csv,transparent,PE,0.97
AI58_5.1_47.csv,transparent,PE,0.97
AI58_5.1_48.csv,white,PE,0.94
AI58_5.1_49.csv,transparent,PP,0.95
AI58_5.1_52.csv,yellow,PE,0.85
AI58_5.1_53.csv,white,PE,0.97
AI58_5.1_54.csv,transparent,PE,0.84
AI58_5.1_55.csv,transparent,PP,0.94
AI58_5.1_56.csv,transparent,PE,0.95
AI58_5.1_57.csv,transparent,PE,0.98
AI58_5.1_58.csv,light blue,PP,0.77
AI58_5.1_59.csv,gray,PE,0.96
AI58_5.1_60.csv,gray,PP,0.95
AI58_5.1_61.csv,brown,PE,0.98
AI58_5.1_62.csv,transparent,PE,0.97
AI58_5.1_63.csv,transparent,PE,0.89
AI58_5.1_64.csv,transparent,PE,0.86
AI58_5.1_65.csv,transparent,PE,0.95
